"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:57:52,1691275","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_light_glow.sst","NO SUCH FILE","Filter: sfx_light_glow.sst"
"15:57:52,1835015","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizen_01T.sst","NO SUCH FILE","Filter: men_femcitizen_01T.sst"
"15:57:52,1837710","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizen_01T.sst","NO SUCH FILE","Filter: men_femcitizen_01T.sst"
"15:57:52,1862971","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenhunt_01T.sst","NO SUCH FILE","Filter: men_femcitizenhunt_01T.sst"
"15:57:52,1866792","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenhunt_01T.sst","NO SUCH FILE","Filter: men_femcitizenhunt_01T.sst"
"15:57:52,1976838","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenbuild_01T.sst","NO SUCH FILE","Filter: men_femcitizenbuild_01T.sst"
"15:57:52,1982769","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenbuild_01T.sst","NO SUCH FILE","Filter: men_femcitizenbuild_01T.sst"
"15:57:52,2009041","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizencarry_01T.sst","NO SUCH FILE","Filter: men_femcitizencarry_01T.sst"
"15:57:52,2012146","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizencarry_01T.sst","NO SUCH FILE","Filter: men_femcitizencarry_01T.sst"
"15:57:52,2076563","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenchop_01T.sst","NO SUCH FILE","Filter: men_femcitizenchop_01T.sst"
"15:57:52,2079426","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_femcitizenchop_01T.sst","NO SUCH FILE","Filter: men_femcitizenchop_01T.sst"
"15:57:52,2130940","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\but_femcitizen_01T.sst","NO SUCH FILE","Filter: but_femcitizen_01T.sst"
"15:57:52,2133874","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\but_femcitizen_01T.sst","NO SUCH FILE","Filter: but_femcitizen_01T.sst"
